pathway,-log10(pvalue)
REACTOME PROTEOLYTIC CLEAVAGE OF SNARE COMPLEX PROTEINS,-0
REACTOME RESOLUTION OF AP SITES VIA THE MULTIPLE NUCLEOTIDE PATCH REPLACEMENT PATHWAY,-0
REACTOME GAMMA CARBOXYLATION TRANSPORT AND AMINO TERMINAL CLEAVAGE OF PROTEINS,-0
REACTOME IL 7 SIGNALING,-0
REACTOME CELL CYCLE,-0
REACTOME ORC1 REMOVAL FROM CHROMATIN,-0
REACTOME O LINKED GLYCOSYLATION OF MUCINS,-0
REACTOME SULFUR AMINO ACID METABOLISM,-0
REACTOME DOWNREGULATION OF ERBB2 ERBB3 SIGNALING,-0
REACTOME ANTIVIRAL MECHANISM BY IFN STIMULATED GENES,-0
REACTOME PROLACTIN RECEPTOR SIGNALING,-0
REACTOME SIGNALING BY ERBB2,-0
REACTOME TERMINATION OF O GLYCAN BIOSYNTHESIS,-0
REACTOME DEFENSINS,-0
REACTOME SIGNALING BY CONSTITUTIVELY ACTIVE EGFR,-0
REACTOME GRB2 EVENTS IN ERBB2 SIGNALING,-0
REACTOME SIGNALING BY EGFR IN CANCER,-0
REACTOME MEMBRANE BINDING AND TARGETTING OF GAG PROTEINS,-0
REACTOME BETA DEFENSINS,-0
REACTOME SRP DEPENDENT COTRANSLATIONAL PROTEIN TARGETING TO MEMBRANE,-0
REACTOME PI3K EVENTS IN ERBB4 SIGNALING,-0
REACTOME SHC1 EVENTS IN ERBB4 SIGNALING,-0
REACTOME PI3K EVENTS IN ERBB2 SIGNALING,-0
REACTOME ASSOCIATION OF LICENSING FACTORS WITH THE PRE REPLICATIVE COMPLEX,-0
REACTOME RIP MEDIATED NFKB ACTIVATION VIA DAI,-0
REACTOME DEGRADATION OF THE EXTRACELLULAR MATRIX,-0
REACTOME MITOCHONDRIAL PROTEIN IMPORT,-0
REACTOME SIGNALING BY HIPPO,-0
REACTOME ACTIVATED NOTCH1 TRANSMITS SIGNAL TO THE NUCLEUS,-0
REACTOME TRAFFICKING AND PROCESSING OF ENDOSOMAL TLR,-0
REACTOME SIGNALING BY NOTCH4,-0
REACTOME DOWNSTREAM SIGNALING EVENTS OF B CELL RECEPTOR BCR,-0
REACTOME ACTIVATION OF NF KAPPAB IN B CELLS,-0
REACTOME ANTIGEN ACTIVATES B CELL RECEPTOR LEADING TO GENERATION OF SECOND MESSENGERS,-0
REACTOME REGULATION OF COMPLEMENT CASCADE,-0
REACTOME SIGNALING BY NOTCH2,-0
REACTOME SIGNALING BY THE B CELL RECEPTOR BCR,-0
REACTOME EXTRACELLULAR MATRIX ORGANIZATION,-0
REACTOME PRE NOTCH PROCESSING IN GOLGI,-0
REACTOME SIGNALING BY NOTCH3,-0
REACTOME TRIGLYCERIDE BIOSYNTHESIS,-0
REACTOME INSULIN RECEPTOR SIGNALLING CASCADE,-0
REACTOME ARMS MEDIATED ACTIVATION,-0
REACTOME PROLONGED ERK ACTIVATION EVENTS,-0
REACTOME SIGNALLING TO RAS,-0
REACTOME SIGNALING BY BMP,-0
REACTOME CELL SURFACE INTERACTIONS AT THE VASCULAR WALL,-0
REACTOME NGF SIGNALLING VIA TRKA FROM THE PLASMA MEMBRANE,-0
REACTOME SIGNALLING TO ERKS,-0
REACTOME P38MAPK EVENTS,-0
REACTOME ACYL CHAIN REMODELLING OF PI,-0
REACTOME TGF BETA RECEPTOR SIGNALING IN EMT EPITHELIAL TO MESENCHYMAL TRANSITION,-0
REACTOME DOWNREGULATION OF TGF BETA RECEPTOR SIGNALING,-0
REACTOME COLLAGEN FORMATION,-0
REACTOME SMAD2 SMAD3 SMAD4 HETEROTRIMER REGULATES TRANSCRIPTION,-0
REACTOME SIGNALING BY FGFR IN DISEASE,-0
REACTOME HS GAG DEGRADATION,-0
REACTOME SYNTHESIS OF PIPS AT THE EARLY ENDOSOME MEMBRANE,-0
REACTOME SIGNALLING TO P38 VIA RIT AND RIN,-0
REACTOME P53 INDEPENDENT G1 S DNA DAMAGE CHECKPOINT,-0
REACTOME ACYL CHAIN REMODELLING OF PC,-0
REACTOME SYNTHESIS OF PIPS AT THE GOLGI MEMBRANE,-0
REACTOME TGF BETA RECEPTOR SIGNALING ACTIVATES SMADS,-0
REACTOME ACTIVATED POINT MUTANTS OF FGFR2,-0
REACTOME CS DS DEGRADATION,-0
REACTOME SYNTHESIS OF PA,-0
REACTOME OXYGEN DEPENDENT PROLINE HYDROXYLATION OF HYPOXIA INDUCIBLE FACTOR ALPHA,-0
REACTOME SYNTHESIS OF PIPS AT THE LATE ENDOSOME MEMBRANE,-0
REACTOME SYNTHESIS OF PE,-0
REACTOME GASTRIN CREB SIGNALLING PATHWAY VIA PKC AND MAPK,-0
REACTOME CHONDROITIN SULFATE BIOSYNTHESIS,-0
REACTOME HYALURONAN UPTAKE AND DEGRADATION,-0
REACTOME SIGNALING BY FGFR1 MUTANTS,-0
REACTOME SYNTHESIS OF PIPS AT THE PLASMA MEMBRANE,-0
REACTOME THE ACTIVATION OF ARYLSULFATASES,-0
REACTOME HYALURONAN METABOLISM,-0
REACTOME KERATAN SULFATE BIOSYNTHESIS,-0
REACTOME REVERSIBLE HYDRATION OF CARBON DIOXIDE,-0
REACTOME SIGNALING BY FGFR1 FUSION MUTANTS,-0
REACTOME ALPHA LINOLENIC ACID ALA METABOLISM,-0
REACTOME SIGNALING BY ACTIVATED POINT MUTANTS OF FGFR1,-0
REACTOME PI METABOLISM,-0
REACTOME ABACAVIR TRANSPORT AND METABOLISM,-0
REACTOME CHONDROITIN SULFATE DERMATAN SULFATE METABOLISM,-0
REACTOME LATENT INFECTION OF HOMO SAPIENS WITH MYCOBACTERIUM TUBERCULOSIS,-0
REACTOME SYNTHESIS OF PC,-0
REACTOME HS GAG BIOSYNTHESIS,-0
REACTOME SIGNALING BY FGFR3 MUTANTS,-0
REACTOME KERATAN SULFATE KERATIN METABOLISM,-0
REACTOME APOPTOSIS INDUCED DNA FRAGMENTATION,-0
REACTOME KERATAN SULFATE DEGRADATION,-0
REACTOME HEPARAN SULFATE HEPARIN HS GAG METABOLISM,-0
REACTOME GLYCOSAMINOGLYCAN METABOLISM,-0
REACTOME ACYL CHAIN REMODELLING OF PG,-0
REACTOME ACYL CHAIN REMODELLING OF PE,-0
REACTOME ACYL CHAIN REMODELLING OF PS,-0
REACTOME SIGNALING BY FGFR MUTANTS,-0
REACTOME MHC CLASS II ANTIGEN PRESENTATION,-0
REACTOME A TETRASACCHARIDE LINKER SEQUENCE IS REQUIRED FOR GAG SYNTHESIS,-0
REACTOME CDK MEDIATED PHOSPHORYLATION AND REMOVAL OF CDC6,-0
REACTOME PLATELET ADHESION TO EXPOSED COLLAGEN,-0
REACTOME VEGF LIGAND RECEPTOR INTERACTIONS,-0
REACTOME ENOS ACTIVATION AND REGULATION,-0
REACTOME MICRORNA MIRNA BIOGENESIS,-0
REACTOME NUCLEAR EVENTS KINASE AND TRANSCRIPTION FACTOR ACTIVATION,-0
REACTOME RETROGRADE NEUROTROPHIN SIGNALLING,-0
REACTOME ERKS ARE INACTIVATED,-0
REACTOME NEGATIVE REGULATION OF THE PI3K AKT NETWORK,-0
REACTOME PI3K AKT ACTIVATION,-0
REACTOME REGULATORY RNA PATHWAYS,-0
REACTOME EGFR DOWNREGULATION,-0
REACTOME PROCESSING OF CAPPED INTRON CONTAINING PRE MRNA,-0
REACTOME PECAM1 INTERACTIONS,-0
REACTOME TCR SIGNALING,-0
REACTOME REGULATION OF PYRUVATE DEHYDROGENASE PDH COMPLEX,-0
REACTOME DOWNSTREAM TCR SIGNALING,-0
REACTOME BASIGIN INTERACTIONS,-0
REACTOME AKT PHOSPHORYLATES TARGETS IN THE CYTOSOL,-0
REACTOME GAB1 SIGNALOSOME,-0
REACTOME SHC1 EVENTS IN EGFR SIGNALING,-0
REACTOME ACTIVATION OF THE MRNA UPON BINDING OF THE CAP BINDING COMPLEX AND EIFS AND SUBSEQUENT BINDING TO 43S,-0
REACTOME PHOSPHORYLATION OF CD3 AND TCR ZETA CHAINS,-0
REACTOME GLUTAMATE NEUROTRANSMITTER RELEASE CYCLE,-0
REACTOME TRANSLOCATION OF ZAP 70 TO IMMUNOLOGICAL SYNAPSE,-0
REACTOME ERK MAPK TARGETS,-0
REACTOME TIE2 SIGNALING,-0
REACTOME GENERATION OF SECOND MESSENGER MOLECULES,-0
REACTOME RESPONSE TO ELEVATED PLATELET CYTOSOLIC CA2 ,-0
REACTOME TRANSPORT OF MATURE TRANSCRIPT TO CYTOPLASM,-0
REACTOME METABOLISM OF AMINO ACIDS AND DERIVATIVES,-0
REACTOME RNA POL I TRANSCRIPTION,-0
REACTOME FATTY ACYL COA BIOSYNTHESIS,-0
REACTOME E2F ENABLED INHIBITION OF PRE REPLICATION COMPLEX FORMATION,-0
REACTOME P75NTR RECRUITS SIGNALLING COMPLEXES,-0
REACTOME BIOLOGICAL OXIDATIONS,-0
REACTOME REGULATED PROTEOLYSIS OF P75NTR,-0
REACTOME TRANSMISSION ACROSS CHEMICAL SYNAPSES,-0
REACTOME P75NTR SIGNALS VIA NFKB,-0
REACTOME CASPASE MEDIATED CLEAVAGE OF CYTOSKELETAL PROTEINS,-0
REACTOME XENOBIOTICS,-0
REACTOME INTEGRIN CELL SURFACE INTERACTIONS,-0
REACTOME REGULATION OF ORNITHINE DECARBOXYLASE ODC,-0
REACTOME CYTOCHROME P450 ARRANGED BY SUBSTRATE TYPE,-0
REACTOME BASE FREE SUGAR PHOSPHATE REMOVAL VIA THE SINGLE NUCLEOTIDE REPLACEMENT PATHWAY,-0
REACTOME APOPTOTIC CLEAVAGE OF CELL ADHESION PROTEINS,-0
REACTOME NRAGE SIGNALS DEATH THROUGH JNK,-0
REACTOME SLBP DEPENDENT PROCESSING OF REPLICATION DEPENDENT HISTONE PRE MRNAS,-0
REACTOME NRIF SIGNALS CELL DEATH FROM THE NUCLEUS,-0
REACTOME REGULATION OF APOPTOSIS,-0
REACTOME RNA POL II TRANSCRIPTION,-0
REACTOME NEURONAL SYSTEM,-0
REACTOME NFKB IS ACTIVATED AND SIGNALS SURVIVAL,-0
REACTOME REGULATION OF BETA CELL DEVELOPMENT,-0
REACTOME PHASE1 FUNCTIONALIZATION OF COMPOUNDS,-0
REACTOME RNA POL III TRANSCRIPTION,-0
REACTOME CELL DEATH SIGNALLING VIA NRAGE NRIF AND NADE,-0
REACTOME NEUROTRANSMITTER RELEASE CYCLE,-0
REACTOME P75 NTR RECEPTOR MEDIATED SIGNALLING,-0
REACTOME AMINO ACID TRANSPORT ACROSS THE PLASMA MEMBRANE,-0
REACTOME ENDOGENOUS STEROLS,-0
REACTOME REGULATION OF GENE EXPRESSION IN BETA CELLS,-0
REACTOME GLYCOLYSIS,-0
REACTOME PROCESSIVE SYNTHESIS ON THE LAGGING STRAND,-0
REACTOME PEPTIDE CHAIN ELONGATION,-0
REACTOME COMMON PATHWAY,-0
REACTOME MRNA CAPPING,-0
REACTOME MITOCHONDRIAL FATTY ACID BETA OXIDATION,-0
REACTOME SIGNALING BY GPCR,-0
REACTOME PEPTIDE LIGAND BINDING RECEPTORS,-0
REACTOME METABOLISM OF POLYAMINES,-0
REACTOME CLASS A1 RHODOPSIN LIKE RECEPTORS,-0
REACTOME INTEGRATION OF ENERGY METABOLISM,-0
REACTOME CELL CYCLE MITOTIC,-0
REACTOME GLUCONEOGENESIS,-0
REACTOME DOPAMINE NEUROTRANSMITTER RELEASE CYCLE,-0
REACTOME OPIOID SIGNALLING,-0
REACTOME RECRUITMENT OF MITOTIC CENTROSOME PROTEINS AND COMPLEXES,-0
REACTOME MITOCHONDRIAL TRNA AMINOACYLATION,-0
REACTOME CYTOSOLIC TRNA AMINOACYLATION,-0
REACTOME CA DEPENDENT EVENTS,-0
REACTOME ACETYLCHOLINE NEUROTRANSMITTER RELEASE CYCLE,-0
REACTOME ADENYLATE CYCLASE ACTIVATING PATHWAY,-0
REACTOME ADENYLATE CYCLASE INHIBITORY PATHWAY,-0
REACTOME DARPP 32 EVENTS,-0
REACTOME CHEMOKINE RECEPTORS BIND CHEMOKINES,-0
REACTOME LOSS OF NLP FROM MITOTIC CENTROSOMES,-0
REACTOME NEUROTRANSMITTER RECEPTOR BINDING AND DOWNSTREAM TRANSMISSION IN THE POSTSYNAPTIC CELL,-0
REACTOME CELL CYCLE CHECKPOINTS,-0
REACTOME DIABETES PATHWAYS,-0
REACTOME P130CAS LINKAGE TO MAPK SIGNALING FOR INTEGRINS,-0
REACTOME GLYCOPROTEIN HORMONES,-0
REACTOME NOREPINEPHRINE NEUROTRANSMITTER RELEASE CYCLE,-0
REACTOME PLC BETA MEDIATED EVENTS,-0
REACTOME REGULATION OF INSULIN LIKE GROWTH FACTOR IGF ACTIVITY BY INSULIN LIKE GROWTH FACTOR BINDING PROTEINS IGFBPS,-0
REACTOME GRB2 SOS PROVIDES LINKAGE TO MAPK SIGNALING FOR INTERGRINS ,-0
REACTOME PEPTIDE HORMONE BIOSYNTHESIS,-0
REACTOME G PROTEIN ACTIVATION,-0
REACTOME ACETYLCHOLINE BINDING AND DOWNSTREAM EVENTS,-0
REACTOME ABC FAMILY PROTEINS MEDIATED TRANSPORT,-0
REACTOME TRNA AMINOACYLATION,-0
REACTOME OLFACTORY SIGNALING PATHWAY,-0
REACTOME STEROID HORMONES,-0
REACTOME PKA MEDIATED PHOSPHORYLATION OF CREB,-0
REACTOME RECRUITMENT OF NUMA TO MITOTIC CENTROSOMES,-0
REACTOME AMINE DERIVED HORMONES,-0
REACTOME TRANSMEMBRANE TRANSPORT OF SMALL MOLECULES,-0
REACTOME INTEGRIN ALPHAIIB BETA3 SIGNALING,-0
REACTOME INSULIN SYNTHESIS AND PROCESSING,-0
REACTOME CYCLIN E ASSOCIATED EVENTS DURING G1 S TRANSITION ,-0
REACTOME HOMOLOGOUS RECOMBINATION REPAIR OF REPLICATION INDEPENDENT DOUBLE STRAND BREAKS,-0
REACTOME G1 PHASE,-0
REACTOME ELEVATION OF CYTOSOLIC CA2 LEVELS,-0
REACTOME P53 DEPENDENT G1 DNA DAMAGE RESPONSE,-0
REACTOME TRANSCRIPTION COUPLED NER TC NER,-0
REACTOME RNA POL II TRANSCRIPTION PRE INITIATION AND PROMOTER OPENING,-0
REACTOME GLUCAGON SIGNALING IN METABOLIC REGULATION,-0
REACTOME MRNA PROCESSING,-0
REACTOME SIGNALING BY PDGF,-0
REACTOME ASSOCIATION OF TRIC CCT WITH TARGET PROTEINS DURING BIOSYNTHESIS,-0
REACTOME PREFOLDIN MEDIATED TRANSFER OF SUBSTRATE TO CCT TRIC,-0
REACTOME HORMONE LIGAND BINDING RECEPTORS,-0
REACTOME GPVI MEDIATED ACTIVATION CASCADE,-0
REACTOME PROTEIN FOLDING,-0
REACTOME FORMATION OF TUBULIN FOLDING INTERMEDIATES BY CCT TRIC,-0
REACTOME POST CHAPERONIN TUBULIN FOLDING PATHWAY,-0
REACTOME STRIATED MUSCLE CONTRACTION,-0
REACTOME METABOLISM OF NUCLEOTIDES,-0
REACTOME AMINE LIGAND BINDING RECEPTORS,-0
REACTOME METABOLISM OF PROTEINS,-0
REACTOME DOWNSTREAM SIGNAL TRANSDUCTION,-0
REACTOME MUSCLE CONTRACTION,-0
REACTOME SEROTONIN RECEPTORS,-0
REACTOME CDC6 ASSOCIATION WITH THE ORC ORIGIN COMPLEX,-0
REACTOME M G1 TRANSITION,-0
REACTOME MRNA SPLICING,-0
REACTOME MRNA SPLICING MINOR PATHWAY,-0
REACTOME 3 UTR MEDIATED TRANSLATIONAL REGULATION,-0
REACTOME PROCESSING OF CAPPED INTRONLESS PRE MRNA,-0
REACTOME PURINE RIBONUCLEOSIDE MONOPHOSPHATE BIOSYNTHESIS,-0
REACTOME G1 S TRANSITION,-0
REACTOME CITRIC ACID CYCLE TCA CYCLE,-0
REACTOME TRANSCRIPTION,-0
REACTOME POL SWITCHING,-0
REACTOME NUCLEOTIDE EXCISION REPAIR,-0
REACTOME REGULATION OF THE FANCONI ANEMIA PATHWAY,-0
REACTOME AXON GUIDANCE,-0
REACTOME ACTIVATION OF CHAPERONE GENES BY XBP1S,-0
REACTOME REGULATION OF INSULIN SECRETION BY GLUCAGON LIKE PEPTIDE1,-0
REACTOME PERK REGULATED GENE EXPRESSION,-0
REACTOME G ALPHA Q SIGNALLING EVENTS,-0
REACTOME P2Y RECEPTORS,-0
REACTOME TRAFFICKING OF AMPA RECEPTORS,-0
REACTOME NCAM1 INTERACTIONS,-0
REACTOME CLASS C 3 METABOTROPIC GLUTAMATE PHEROMONE RECEPTORS,-0
REACTOME REGULATION OF INSULIN SECRETION,-0
REACTOME NCAM SIGNALING FOR NEURITE OUT GROWTH,-0
REACTOME INHIBITION OF INSULIN SECRETION BY ADRENALINE NORADRENALINE,-0
REACTOME NUCLEOTIDE LIKE PURINERGIC RECEPTORS,-0
REACTOME ACTIVATION OF CHAPERONES BY ATF6 ALPHA,-0
REACTOME TRANSPORT OF MATURE MRNA DERIVED FROM AN INTRONLESS TRANSCRIPT,-0
REACTOME EICOSANOID LIGAND BINDING RECEPTORS,-0
REACTOME ACTIVATION OF GENES BY ATF4,-0
REACTOME UNFOLDED PROTEIN RESPONSE,-0
REACTOME CLASS B 2 SECRETIN FAMILY RECEPTORS,-0
REACTOME GLUCAGON TYPE LIGAND RECEPTORS,-0
REACTOME REGULATION OF INSULIN SECRETION BY ACETYLCHOLINE,-0
REACTOME G ALPHA1213 SIGNALLING EVENTS,-0
REACTOME FANCONI ANEMIA PATHWAY,-0
REACTOME TRAFFICKING OF GLUR2 CONTAINING AMPA RECEPTORS,-0
REACTOME ACTIVATION OF CHAPERONE GENES BY ATF6 ALPHA,-0
REACTOME PROSTANOID LIGAND RECEPTORS,-0
REACTOME OPSINS,-0
REACTOME FORMATION OF RNA POL II ELONGATION COMPLEX ,-0
REACTOME MRNA 3 END PROCESSING,-0
REACTOME POST TRANSLATIONAL MODIFICATION SYNTHESIS OF GPI ANCHORED PROTEINS,-0
REACTOME CYCLIN A B1 ASSOCIATED EVENTS DURING G2 M TRANSITION,-0
REACTOME ELONGATION ARREST AND RECOVERY,-0
REACTOME SLC MEDIATED TRANSMEMBRANE TRANSPORT,-0
REACTOME ADP SIGNALLING THROUGH P2RY1,-0
REACTOME G BETA GAMMA SIGNALLING THROUGH PLC BETA,-0
REACTOME CD28 CO STIMULATION,-0
REACTOME GPCR DOWNSTREAM SIGNALING,-0
REACTOME SYNTHESIS SECRETION AND DEACYLATION OF GHRELIN,-0
REACTOME ADHERENS JUNCTIONS INTERACTIONS,-0
REACTOME CRMPS IN SEMA3A SIGNALING,-0
REACTOME OTHER SEMAPHORIN INTERACTIONS,-0
REACTOME ACTIVATION OF RAC,-0
REACTOME PURINE SALVAGE,-0
REACTOME G ALPHA I SIGNALLING EVENTS,-0
REACTOME SEMA3A PAK DEPENDENT AXON REPULSION,-0
REACTOME CD28 DEPENDENT VAV1 PATHWAY,-0
REACTOME SEMA4D IN SEMAPHORIN SIGNALING,-0
REACTOME SEMAPHORIN INTERACTIONS,-0
REACTOME SEMA4D INDUCED CELL MIGRATION AND GROWTH CONE COLLAPSE,-0
REACTOME SEMA3A PLEXIN REPULSION SIGNALING BY INHIBITING INTEGRIN ADHESION,-0
REACTOME LYSOSOME VESICLE BIOGENESIS,-0
REACTOME G BETA GAMMA SIGNALLING THROUGH PI3KGAMMA,-0
REACTOME TRANSPORT OF GLUCOSE AND OTHER SUGARS BILE SALTS AND ORGANIC ACIDS METAL IONS AND AMINE COMPOUNDS,-0
REACTOME PD1 SIGNALING,-0
REACTOME G ALPHA S SIGNALLING EVENTS,-0
REACTOME CELL CELL JUNCTION ORGANIZATION,-0
REACTOME G ALPHA Z SIGNALLING EVENTS,-0
REACTOME FACILITATIVE NA INDEPENDENT GLUCOSE TRANSPORTERS,-0
REACTOME COSTIMULATION BY THE CD28 FAMILY,-0
REACTOME SIGNALING BY ROBO RECEPTOR,-0
REACTOME CD28 DEPENDENT PI3K AKT SIGNALING,-0
REACTOME TIGHT JUNCTION INTERACTIONS,-0
REACTOME G PROTEIN BETA GAMMA SIGNALLING,-0
REACTOME TRANSPORT OF INORGANIC CATIONS ANIONS AND AMINO ACIDS OLIGOPEPTIDES,-0
REACTOME GOLGI ASSOCIATED VESICLE BIOGENESIS,-0
REACTOME CTLA4 INHIBITORY SIGNALING,-0
REACTOME FORMATION OF TRANSCRIPTION COUPLED NER TC NER REPAIR COMPLEX,-0
REACTOME AMINO ACID AND OLIGOPEPTIDE SLC TRANSPORTERS,-0
REACTOME CDT1 ASSOCIATION WITH THE CDC6 ORC ORIGIN COMPLEX,-0
REACTOME BRANCHED CHAIN AMINO ACID CATABOLISM,-0
REACTOME REPAIR SYNTHESIS FOR GAP FILLING BY DNA POL IN TC NER,-0
REACTOME RECEPTOR LIGAND BINDING INITIATES THE SECOND PROTEOLYTIC CLEAVAGE OF NOTCH RECEPTOR,-0
REACTOME SYNTHESIS OF DNA,-0
REACTOME NA CL DEPENDENT NEUROTRANSMITTER TRANSPORTERS,-0
REACTOME FORMATION OF FIBRIN CLOT CLOTTING CASCADE,-0
REACTOME DEADENYLATION OF MRNA,-0
REACTOME MRNA DECAY BY 5 TO 3 EXORIBONUCLEASE,-0
REACTOME SIGNAL AMPLIFICATION,-0
REACTOME ZINC TRANSPORTERS,-0
REACTOME DOUBLE STRAND BREAK REPAIR,-0
REACTOME RAS ACTIVATION UOPN CA2 INFUX THROUGH NMDA RECEPTOR,-0
REACTOME METAL ION SLC TRANSPORTERS,-0
REACTOME AUTODEGRADATION OF THE E3 UBIQUITIN LIGASE COP1,-0
REACTOME SMOOTH MUSCLE CONTRACTION,-0
REACTOME ACTIVATION OF NMDA RECEPTOR UPON GLUTAMATE BINDING AND POSTSYNAPTIC EVENTS,-0
REACTOME CREB PHOSPHORYLATION THROUGH THE ACTIVATION OF RAS,-0
REACTOME POST NMDA RECEPTOR ACTIVATION EVENTS,-0
REACTOME UNBLOCKING OF NMDA RECEPTOR GLUTAMATE BINDING AND ACTIVATION,-0
REACTOME METABOLISM OF MRNA,-0
REACTOME MRNA DECAY BY 3 TO 5 EXORIBONUCLEASE,-0
REACTOME BILE SALT AND ORGANIC ANION SLC TRANSPORTERS,-0
REACTOME DEADENYLATION DEPENDENT MRNA DECAY,-0
REACTOME CREB PHOSPHORYLATION THROUGH THE ACTIVATION OF CAMKII,-0
REACTOME THROMBOXANE SIGNALLING THROUGH TP RECEPTOR,-0
REACTOME CELL EXTRACELLULAR MATRIX INTERACTIONS,-0
REACTOME ADP SIGNALLING THROUGH P2RY12,-0
REACTOME CELL JUNCTION ORGANIZATION,-0
REACTOME AMINE COMPOUND SLC TRANSPORTERS,-0
REACTOME PYRUVATE METABOLISM,-0
REACTOME PURINE CATABOLISM,-0
REACTOME GLUCOSE TRANSPORT,-0
REACTOME FRS2 MEDIATED CASCADE,-0
REACTOME METABOLISM OF RNA,-0
REACTOME MITOTIC G1 G1 S PHASES,-0
REACTOME PI 3K CASCADE,-0
REACTOME DOWNSTREAM SIGNALING OF ACTIVATED FGFR,-0
REACTOME REGULATION OF MITOTIC CELL CYCLE,-0
REACTOME TAK1 ACTIVATES NFKB BY PHOSPHORYLATION AND ACTIVATION OF IKKS COMPLEX,-0
REACTOME REGULATION OF AMPK ACTIVITY VIA LKB1,-0
REACTOME MITOTIC M M G1 PHASES,-0
REACTOME MYOGENESIS,-0
REACTOME MAP KINASE ACTIVATION IN TLR CASCADE,-0
REACTOME PHOSPHOLIPASE C MEDIATED CASCADE,-0
REACTOME ACTIVATION OF KAINATE RECEPTORS UPON GLUTAMATE BINDING,-0
REACTOME IONOTROPIC ACTIVITY OF KAINATE RECEPTORS,-0
REACTOME ACTIVATION OF THE AP1 FAMILY OF TRANSCRIPTION FACTORS,-0
REACTOME MAPK TARGETS NUCLEAR EVENTS MEDIATED BY MAP KINASES,-0
REACTOME SYNTHESIS AND INTERCONVERSION OF NUCLEOTIDE DI AND TRIPHOSPHATES,-0
REACTOME GPCR LIGAND BINDING,-0
REACTOME RNA POL I RNA POL III AND MITOCHONDRIAL TRANSCRIPTION,-0
REACTOME JNK C JUN KINASES PHOSPHORYLATION AND ACTIVATION MEDIATED BY ACTIVATED HUMAN TAK1,-0
REACTOME SHC MEDIATED CASCADE,-0
REACTOME THROMBIN SIGNALLING THROUGH PROTEINASE ACTIVATED RECEPTORS PARS,-0
REACTOME ENERGY DEPENDENT REGULATION OF MTOR BY LKB1 AMPK,-0
REACTOME MITOTIC G2 G2 M PHASES,-0
REACTOME REGULATION OF RHEB GTPASE ACTIVITY BY AMPK,-0
REACTOME ACTIVATED TAK1 MEDIATES P38 MAPK ACTIVATION,-0
REACTOME DNA REPAIR,-0
REACTOME EFFECTS OF PIP2 HYDROLYSIS,-0
REACTOME RNA POL II PRE TRANSCRIPTION EVENTS,-0
REACTOME ROLE OF DCC IN REGULATING APOPTOSIS,-0
REACTOME POST TRANSLATIONAL PROTEIN MODIFICATION,-0
REACTOME CHROMOSOME MAINTENANCE,-0
REACTOME DEPOSITION OF NEW CENPA CONTAINING NUCLEOSOMES AT THE CENTROMERE,-0
REACTOME L1CAM INTERACTIONS,-0
REACTOME ROLE OF SECOND MESSENGERS IN NETRIN1 SIGNALING,-0
REACTOME SIGNALING BY ILS,-0
REACTOME NETRIN1 SIGNALING,-0
REACTOME INTERACTION BETWEEN L1 AND ANKYRINS,-0
REACTOME SIGNAL TRANSDUCTION BY L1,-0
REACTOME TRANSPORT OF VITAMINS NUCLEOSIDES AND RELATED MOLECULES,-0
REACTOME HIGHLY CALCIUM PERMEABLE POSTSYNAPTIC NICOTINIC ACETYLCHOLINE RECEPTORS,-0
REACTOME RNA POL I PROMOTER OPENING,-0
REACTOME PRESYNAPTIC NICOTINIC ACETYLCHOLINE RECEPTORS,-0
REACTOME ORGANIC CATION ANION ZWITTERION TRANSPORT,-0
REACTOME DCC MEDIATED ATTRACTIVE SIGNALING,-0
REACTOME RECYCLING PATHWAY OF L1,-0
REACTOME SYNTHESIS OF SUBSTRATES IN N GLYCAN BIOSYTHESIS,-0
REACTOME RESPIRATORY ELECTRON TRANSPORT,-0
REACTOME ASPARAGINE N LINKED GLYCOSYLATION,-0
REACTOME ASSEMBLY OF THE PRE REPLICATIVE COMPLEX,-0
REACTOME IL1 SIGNALING,-0
REACTOME GLOBAL GENOMIC NER GG NER,-0
REACTOME CGMP EFFECTS,-0
REACTOME REGULATION OF SIGNALING BY CBL,-0
REACTOME AMINO ACID SYNTHESIS AND INTERCONVERSION TRANSAMINATION,-0
REACTOME CALNEXIN CALRETICULIN CYCLE,-0
REACTOME SYNTHESIS SECRETION AND INACTIVATION OF GIP,-0
REACTOME PASSIVE TRANSPORT BY AQUAPORINS,-0
REACTOME NEPHRIN INTERACTIONS,-0
REACTOME IL 3 5 AND GM CSF SIGNALING,-0
REACTOME NITRIC OXIDE STIMULATES GUANYLATE CYCLASE,-0
REACTOME PLATELET HOMEOSTASIS,-0
REACTOME N GLYCAN TRIMMING IN THE ER AND CALNEXIN CALRETICULIN CYCLE,-0
REACTOME PLATELET SENSITIZATION BY LDL,-0
REACTOME AQUAPORIN MEDIATED TRANSPORT,-0
REACTOME IL RECEPTOR SHC SIGNALING,-0
REACTOME RAP1 SIGNALLING,-0
REACTOME PLATELET CALCIUM HOMEOSTASIS,-0
REACTOME SIGNAL REGULATORY PROTEIN SIRP FAMILY INTERACTIONS,-0
REACTOME PROSTACYCLIN SIGNALLING THROUGH PROSTACYCLIN RECEPTOR,-0
REACTOME GABA SYNTHESIS RELEASE REUPTAKE AND DEGRADATION,-0
REACTOME INCRETIN SYNTHESIS SECRETION AND INACTIVATION,-0
